id,predicted_price
54273,26070.24419103862
54274,17975.942067252367
54275,30213.41537920395
54276,55981.83909017703
54277,47847.14951142698
54278,82780.7331828182
54279,45848.29558541462
54280,38919.22333750647
54281,15924.691940197166
54282,56958.37861113428
54283,32273.84005705781
54284,16457.507038044176
54285,34533.10162509063
54286,47847.14951142698
54287,58843.13848635062
54288,81069.25580921615
54289,82780.7331828182
54290,25718.805572539834
54291,15924.691940197166
54292,82780.7331828182
54293,39471.25263521946
54294,13849.214772231055
54295,52041.125067211186
54296,82780.7331828182
54297,26435.57122247793
54298,26435.57122247793
54299,26173.371822528436
54300,47847.14951142698
54301,66884.04675858252
54302,56354.983323673805
54303,57176.85918832659
54304,51646.355560593845
54305,66884.04675858252
54306,28607.094996413078
54307,30258.176561345357
54308,13849.214772231055
54309,26435.57122247793
54310,14592.51365951915
54311,66884.04675858252
54312,15924.691940197166
54313,26446.408382857346
54314,66884.04675858252
54315,76703.59099580393
54316,26435.57122247793
54317,27354.27553982677
54318,58843.13848635062
54319,14592.51365951915
54320,120270.81997019712
54321,56958.37861113428
54322,14085.595061509008
54323,37998.33926057689
54324,56354.983323673805
54325,82780.7331828182
54326,15426.987991961054
54327,80595.11862835013
54328,26435.57122247793
54329,29168.203049707037
54330,26435.57122247793
54331,58021.26262169783
54332,15772.9536569845
54333,58843.13848635062
54334,51646.355560593845
54335,29988.604412649598
54336,26173.371822528436
54337,13849.214772231055
54338,68211.16065427833
54339,75815.1698493538
54340,13849.214772231055
54341,82780.7331828182
54342,36409.104864760986
54343,30120.64610821038
54344,82780.7331828182
54345,14592.51365951915
54346,58496.55841689432
54347,14592.51365951915
54348,39455.36573126888
54349,26446.408382857346
54350,87399.08343324611
54351,39719.653837267215
54352,39471.25263521946
54353,72618.93834462644
54354,38541.95036039172
54355,14828.893948797102
54356,57176.85918832659
54357,57176.85918832659
54358,60708.035239503595
54359,13849.214772231055
54360,38992.97910594046
54361,56958.37861113428
54362,76703.59099580393
54363,77020.0143785927
54364,30258.176561345357
54365,14592.51365951915
54366,55981.83909017703
54367,27655.37859601888
54368,26435.57122247793
54369,26435.57122247793
54370,17975.942067252367
54371,37784.40615743646
54372,26446.408382857346
54373,57176.85918832659
54374,30258.176561345357
54375,81931.50534995913
54376,25718.805572539834
54377,47847.14951142698
54378,26446.408382857346
54379,28354.58088439489
54380,14085.595061509008
54381,104046.69393599317
54382,17975.942067252367
54383,58843.13848635062
54384,26070.24419103862
54385,25718.805572539834
54386,13849.214772231055
54387,13849.214772231055
54388,82780.7331828182
54389,13849.214772231055
